,profileIdHashed,Position,Company,position_type,company_type,,,,
139,520ff5b252b75548b54e121e2a9c1cb90f2a1051,Director,Lenovo Group Ltd,,,,,,
140,780620fad3d85ec5f06fc313c8d6adbc4beb3625,Senior Mechanical Engineer,U.S. Army Materiel Command,,,,,,
141,c4c43d6dab214b6dde3db706e83be7c46cfac70d,"Strategic Initiatives Global Leader, Engineering Services",Wipro Limited,,,,,,
142,8f5d45d324d9e1968e55ec1df0453380a2e9e912,Vice President Product Management,SYNNEX,,,,,,
143,ea72294c6976ec5eabe2faa703d9c76d83f44b95,Pre-Assignment Mechanical Lead,SSOE Group,,,,,,
144,9c36e910c3145185188e1548de929a3121b83806,Founder & CEO,Fitly,,,,,,
145,71b8873931526fb953ca8a9955ce5052389840f7,LMFT,Private Practice,,,,,,
146,4ba4bebfe7bf982ff100d2af93ba17b313ce9cbd,"Sr. Manager, Market & Competitive Intelligence",Western Digital,,,,,,
147,e70d438b98572fd80eb567ac09145168160c569f,Director Overseas Marketing,"Shenzhen Selen Science & Technology Co., Ltd.",,,,,,
148,82344edaa7d2613b7f9f0c3a24d1789ae67e9048,"VP, Engineering","View, Inc",,,,,,
149,7e672806eeb05648a64cb80c9772ea46e3007422,Real Estate Consultant,"Keller Williams Realty, Inc.",,,,,,
150,76191b62378fdbc74c70cee09d5f402f86ef95e7,Senior Power & Analog Engineer,"SEAKR Engineering, Inc.",,,,,,
151,17022d776fea0e11c81a91173c11b7d39ae24a42,Litigation Associate,Gibbs Travis PLLC,,,,,,
152,a4843bfb23f3ef1f95cf6ffa147f2cd33d20c4a6,PA Announcer ,Oakland Panthers,,,,,,
153,13bc26d7a181cf90e503da7009c309b09192dc5f,Cheif Cookie Officer,Hot Cookie,,,,,,
154,e283a48e564aa7dad30c144f7e44fa90b125f8d2,Revenue Operations Manager,"LeanData, Inc.",,,,,,
155,20c82b5bd16e76af591bc843a4bfd4b347b6d308,Managing Director,Castor Turnkey Technologies,,,,,,
156,d28dcf90970e60e541a94b6bb418d6fe4ab4e492,Coordinator of Human Resources,Tyler ISD,,,,,,
